coupon,ISIN,issue date,maturity date,10-Jan,11-Jan,12-Jan,13-Jan,14-Jan,17-Jan,18-Jan,19-Jan,20-Jan,21-Jan
0.015,CA135087A610,7/29/2012,5/31/2023,100.7,100.7,100.71,100.65,100.63,100.58,100.48,100.415,100.42,100.445
0.025,CA135087B451,7/1/2013,5/31/2024,103.03,102.98,102.99,102.89,102.88,102.79,102.62,102.49,102.5,102.56
0.0175,CA135087H490,10/5/2017,2/28/2023,100.937,100.94,100.94,100.88,100.88,100.817,100.751,100.7,100.7,100.72
0.0225,CA135087J546,10/4/2018,2/29/2024,102.32,102.31,102.32,102.23,102.21,102.11,101.99,101.86,101.86,101.91
0.015,CA135087J967,4/4/2019,8/31/2024,100.66,100.63,100.62,100.53,100.53,100.42,100.24,100.11,100.12,102
0.015,CA135087K866,1/26/2020,4/30/2022,100.35,100.34,100.34,100.32,100.32,100.3,100.28,100.26,100.26,100.26
0.0025,CA135087L690,10/15/2020,3/31/2024,98,97.96,97.96,97.9,97.9,97.8,97.68,97.56,97.58,97.65
0.0025,CA135087L856,2/4/2021,4/30/2023,99.08,99.07,99.09,99.04,99.04,98.97,97.68,98.91,98.85,98.89
0.0075,CA135087M508,7/11/2021,9/30/2024,98.57,98.565,98.585,98.48,98.485,98.34,98.21,98.06,98.1,98.2
0.0025,CA135087M359,5/13/2021,7/31/2023,98.808,98.8,98.781,98.763,98.736,98.61,98.553,98.549,98.558,98.611
