iso_i,iso_j,value_ij,dist_ij,rgdp_i,rgdp_j,currency_ij
AFG,AGO,265.6389971,7573.253211,12486950912,75492417536,0
AFG,ARE,20476.79299,1657.193103,12486950912,2.53547E+11,0
AFG,ARG,5.132954478,15341.16165,12486950912,3.78496E+11,0
AFG,AUS,1033.271259,11086.14057,12486950912,9.26283E+11,0
AFG,AUT,199.4908642,4567.30199,12486950912,3.9757E+11,0
AFG,AZE,2.532000065,1821.71868,12486950912,44291489792,0
AFG,BEL,2435.933675,5331.891731,12486950912,4.85804E+11,0
AFG,BGD,618.6999969,2488.676089,12486950912,1.02478E+11,0
AFG,BGR,233.6513882,3819.042931,12486950912,50161405952,0
AFG,BHR,165.6562943,1940.469819,12486950912,22938462208,0
AFG,BIH,8.897237778,4374.742947,12486950912,17264893952,0
AFG,BLR,425.5688293,3766.026549,12486950912,49208655872,0
AFG,BRA,268.5898236,13223.75192,12486950912,1.62019E+12,0
AFG,CAN,2414.31665,10516.29308,12486950912,1.37084E+12,0
AFG,CHE,650.0324498,5136.084735,12486950912,5.39508E+11,0
AFG,CHL,10.17408347,16262.29069,12486950912,1.72323E+11,0
AFG,CHN,16061.39792,4434.382121,12486950912,4.99023E+12,0
AFG,CIV,1.300999999,8067.372396,12486950912,24277493760,0
AFG,COL,26.63869667,14072.28391,12486950912,2.33822E+11,0
AFG,CRI,39.32207286,14260.46473,12486950912,29382692864,0
AFG,CZE,52.93310881,4543.170618,12486950912,2.0573E+11,0
AFG,DEU,6409.648844,4945.520213,12486950912,3.41277E+12,0
AFG,DNK,112.676002,4854.473988,12486950912,3.19764E+11,0
AFG,DOM,648.0147275,12623.32518,12486950912,47889006592,0
AFG,DZA,1.179999948,5776.017808,12486950912,1.37212E+11,0
AFG,ECU,3.117994547,15033.62518,12486950912,62519685120,0
AFG,EGY,528.536429,3509.173821,12486950912,1.88984E+11,0
AFG,ESP,1143.094063,6147.662614,12486950912,1.49898E+12,0
AFG,EST,6.822357535,4112.194063,12486950912,19640621056,0
AFG,FIN,6548.475064,4243.3415,12486950912,2.51484E+11,0
AFG,FRA,6996.277447,5500.664767,12486950912,2.69367E+12,0
AFG,GBR,7060.093483,5694.557162,12486950912,2.30893E+12,0
AFG,GEO,12.80000019,2272.455692,12486950912,10766836736,0
AFG,GTM,84.16933441,14094.44832,12486950912,37733654528,0
AFG,HKG,316.9840107,4656.973931,12486950912,2.14046E+11,0
AFG,HRV,4.798000097,4501.397688,12486950912,62636687360,0
AFG,HUN,71.53400135,4265.952722,12486950912,1.2936E+11,0
AFG,IND,276487.353,1741.230214,12486950912,1.36537E+12,0
AFG,IRL,98.39280331,6052.053662,12486950912,2.33542E+11,0
